year,city,avg_temp_city,avg_temp_global
1808,Cairo,17.11,7.63
1809,Cairo,19.87,7.08
1810,Cairo,19.93,6.92
1811,Cairo,20.00,6.86
1812,Cairo,19.93,7.05
1813,Cairo,20.51,7.74
1814,Cairo,20.43,7.59
1815,Cairo,20.30,7.24
1816,Cairo,20.51,6.94
1817,Cairo,21.88,6.98
1818,Cairo,11.60,7.83
1819,Cairo,20.31,7.37
1820,Cairo,20.58,7.62
1821,Cairo,20.63,8.09
1822,Cairo,20.72,8.19
1823,Cairo,20.71,7.72
1824,Cairo,21.44,8.55
1825,Cairo,21.00,8.39
1826,Cairo,20.94,8.36
1827,Cairo,21.63,8.81
1828,Cairo,20.99,8.17
1829,Cairo,20.91,7.94
1830,Cairo,21.25,8.52
1831,Cairo,20.52,7.64
1832,Cairo,20.20,7.45
1833,Cairo,20.81,8.01
1834,Cairo,20.69,8.15
1835,Cairo,20.17,7.39
1836,Cairo,20.59,7.70
1837,Cairo,20.27,7.38
1838,Cairo,20.21,7.51
1839,Cairo,20.43,7.63
1840,Cairo,20.56,7.80
1841,Cairo,20.91,7.69
1842,Cairo,20.92,8.02
1843,Cairo,20.83,8.17
1844,Cairo,20.66,7.65
1845,Cairo,20.90,7.85
1846,Cairo,21.57,8.55
1847,Cairo,21.10,8.09
1848,Cairo,20.89,7.98
1849,Cairo,20.90,7.98
1850,Cairo,20.39,7.90
1851,Cairo,21.11,8.18
1852,Cairo,21.04,8.10
1853,Cairo,21.53,8.04
1854,Cairo,20.74,8.21
1855,Cairo,21.04,8.11
1856,Cairo,20.49,8.00
1857,Cairo,20.29,7.76
1858,Cairo,20.90,8.10
1859,Cairo,20.98,8.25
1860,Cairo,21.33,7.96
1861,Cairo,20.21,7.85
1862,Cairo,20.22,7.56
1863,Cairo,20.60,8.11
1864,Cairo,21.25,7.98
1865,Cairo,21.55,8.18
1866,Cairo,21.35,8.29
1867,Cairo,21.45,8.44
1868,Cairo,20.94,8.25
1869,Cairo,21.41,8.43
1870,Cairo,21.30,8.20
1871,Cairo,20.87,8.12
1872,Cairo,21.14,8.19
1873,Cairo,21.40,8.35
1874,Cairo,20.77,8.43
1875,Cairo,19.99,7.86
1876,Cairo,21.05,8.08
1877,Cairo,21.39,8.54
