year,city,avg_temp_city
1808,Cairo,17.11
1809,Cairo,19.87
1810,Cairo,19.93
1811,Cairo,20.00
1812,Cairo,19.93
1813,Cairo,20.51
1814,Cairo,20.43
1815,Cairo,20.30
1816,Cairo,20.51
1817,Cairo,21.88
1818,Cairo,11.60
1819,Cairo,20.31
1820,Cairo,20.58
1821,Cairo,20.63
1822,Cairo,20.72
1823,Cairo,20.71
1824,Cairo,21.44
1825,Cairo,21.00
1826,Cairo,20.94
1827,Cairo,21.63
1828,Cairo,20.99
1829,Cairo,20.91
1830,Cairo,21.25
1831,Cairo,20.52
1832,Cairo,20.20
1833,Cairo,20.81
1834,Cairo,20.69
1835,Cairo,20.17
1836,Cairo,20.59
1837,Cairo,20.27
1838,Cairo,20.21
1839,Cairo,20.43
1840,Cairo,20.56
1841,Cairo,20.91
1842,Cairo,20.92
1843,Cairo,20.83
1844,Cairo,20.66
1845,Cairo,20.90
1846,Cairo,21.57
1847,Cairo,21.10
1848,Cairo,20.89
1849,Cairo,20.90
1850,Cairo,20.39
1851,Cairo,21.11
1852,Cairo,21.04
1853,Cairo,21.53
1854,Cairo,20.74
1855,Cairo,21.04
1856,Cairo,20.49
1857,Cairo,20.29
1858,Cairo,20.90
1859,Cairo,20.98
1860,Cairo,21.33
1861,Cairo,20.21
1862,Cairo,20.22
1863,Cairo,20.60
1864,Cairo,21.25
1865,Cairo,21.55
1866,Cairo,21.35
1867,Cairo,21.45
1868,Cairo,20.94
1869,Cairo,21.41
1870,Cairo,21.30
1871,Cairo,20.87
1872,Cairo,21.14
1873,Cairo,21.40
1874,Cairo,20.77
1875,Cairo,19.99
1876,Cairo,21.05
1877,Cairo,21.39
1878,Cairo,21.54
1879,Cairo,21.49
1880,Cairo,21.20
1881,Cairo,21.56
1882,Cairo,20.38
1883,Cairo,20.65
1884,Cairo,20.23
1885,Cairo,20.91
1886,Cairo,20.55
1887,Cairo,21.21
1888,Cairo,21.04
1889,Cairo,21.05
1890,Cairo,21.09
1891,Cairo,21.13
